actor	bday
Ingride Mollison	person not found on wiki
Ion Swinley	person not found on wiki
Irene Worth	1916-06-23T00:00:00
Isabella Marshall	person not found on wiki
Ishia Bennison	1949-08-11T00:00:00
Isobel Merson	person not found on wiki
Ivonne Coll	1947-06-18T00:00:00
J Forbes-Robertson	1853-01-16T00:00:00
J. Kenneth Campbell	1947-07-22T00:00:00
Jack Carter	1967-11-09T00:00:00
Jack Klaff	1951-08-06T00:00:00
Jack Laskey	1982-07-01T00:00:00
Jack Wetherall	1950-08-05T00:00:00
Jackie Burroughs	1939-02-02T00:00:00
Jackie Morrison	person not found on wiki
Jacob Cohen	person not found on wiki
Jacob Fortune-Lloyd	person not found on wiki
Jacob P. Adler	1855-02-12T00:00:00
Jacqueline Mckenzie	person not found on wiki
Jade Anouka	person not found on wiki
Jaime Sanchez	1938-12-19T00:00:00
Jake Weber	1963-03-12T00:00:00
James Alexandrou	1985-04-12T00:00:00
James Carew	no birthday on article
James Carpenter	1952-07-01T00:00:00
James Corrigan	1867-10-17T00:00:00
James Dale	1887-02-27T00:00:00
James Davis	person not found on wiki
James Earl Jones	1931-01-17T00:00:00
James Garnon	1973-01-01T00:00:00
James K Hackett	1869-09-06T00:00:00
James K. Hackett	1869-09-06T00:00:00
James Laurenson	1940-02-17T00:00:00
James McAvoy	1979-04-21T00:00:00
James Mcavoy	person not found on wiki
James Rennie	1787-02-26T00:00:00
James Tudor	person not found on wiki
James Vincent Meredith	1972-01-01T00:00:00
Jamie Ballard	person not found on wiki
Jamie Beamish	person not found on wiki
Jamie Glover	1969-07-10T00:00:00
Jane Asher	1946-04-05T00:00:00
Jane Cowl	1883-12-14T00:00:00
Jane Horrocks	1964-01-18T00:00:00
Jane Schenck	person not found on wiki
Jane Spidell	person not found on wiki
Jane Wymark	1952-10-31T00:00:00
Janet Maw	1954-05-16T00:00:00
Janet Suzman	1939-02-09T00:00:00
Jasper Britton	1962-12-11T00:00:00
Jay Goede	no birthday on article
Jean-Louis Barrault	1910-09-08T00:00:00
Jeannette Sherwin	person not found on wiki
Jeff Lillico	person not found on wiki
Jeffery Kissoon	1947-09-04T00:00:00
Jeffrey Carlson	1975-06-23T00:00:00
Jeffrey Demunn	person not found on wiki
Jennifer Ehle	1969-12-29T00:00:00
Jennifer Hall	1977-10-20T00:00:00
Jennifer Ikeda	no birthday on article
Jennifer Leong	person not found on wiki
Jennifer Piercey	person not found on wiki
Jenny Agutter	1952-12-20T00:00:00
Jenny Quayle	1950-03-01T00:00:00
Jenny Rainsford	person not found on wiki
Jeremy Brett	1933-11-03T00:00:00
Jerome Flynn	1963-03-16T00:00:00
Jerrold Robertshaw	1866-03-28T00:00:00
Jerry Etienne	person not found on wiki
Jesse J. Perez	1977-01-01T00:00:00
Jessica Tandy	1909-06-07T00:00:00
Jessie Buckley	1989-12-28T00:00:00
Jill Baker	1952-01-01T00:00:00
Jo Herbert	1987-01-01T00:00:00
Joan Harben	person not found on wiki
Joanna Vanderham	no birthday on article
Joanna Weinberg	person not found on wiki
Joanne Mitchell	no birthday on article
Joanne Pearce	person not found on wiki
Joanne Wootton	person not found on wiki
Joaquina Kalukango	1989-01-01T00:00:00
Joe Shaw	person not found on wiki
Joey Santia	1995-01-01T00:00:00
Johanna Benyon	person not found on wiki
Johanne Murdock	person not found on wiki
John Amory	person not found on wiki
John Barrymore	1882-02-15T00:00:00
John Behlmann	1982-01-25T00:00:00
John Bowe	1950-02-01T00:00:00
John Byron	1912-08-03T00:00:00
John Clements	1910-04-25T00:00:00
John Colicos	1928-12-10T00:00:00
John Doolittle	1947-10-09T00:00:00
John Douglas	1964-01-01T00:00:00
John Douglas Thompson	1964-01-01T00:00:00
John Duttine	1949-03-15T00:00:00
John E. Kellerd	person not found on wiki
John Gielgud	1904-04-14T00:00:00
John Kani	1942-08-30T00:00:00
John Killoran	person not found on wiki
John Laurie	1897-03-25T00:00:00
John Lithgow	1945-10-19T00:00:00
John Mackay	person not found on wiki
John Nettles	1943-10-11T00:00:00
John Neville	1925-05-02T00:00:00
John Paton Laurie	1897-03-24T00:00:00
John Phillips	1914-07-20T00:00:00
John Price	1947-06-01T00:00:00
John Ruddock	1897-05-20T00:00:00
John Seitz	1892-06-23T00:00:00
John Shrapnel	1942-04-27T00:00:00
John Simm	1970-07-10T00:00:00
John Slater	1916-08-22T00:00:00
John Stride	1936-07-11T00:00:00
John Wainwright	person not found on wiki
John Wilkes Booth	1838-05-10T00:00:00
John Wood	1930-07-05T00:00:00
John Wynyard	1752-02-20T00:00:00
John Wyse	1904-11-24T00:00:00
Johnston Forbes-Robertson	1853-01-16T00:00:00
Jolly Abraham	no birthday on article
Jonathan Cake	1967-08-31T00:00:00
Jonathan Crombie	1966-10-12T00:00:00
Jonathan Goad	1971-03-20T00:00:00
Jonathan Goad Bcc	1971-03-20T00:00:00
Jonathan Hyde	1948-05-21T00:00:00
